Vehicle Type,Status,Vehicle Make,Vehicle Model,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source,Wheelchair Accessible,City,State,ZIP Code
Medicar,INACTIVE,FORD,E150,2009,WHITE,Gasoline,N,TINLEY PARK,IL,60487
Taxi,ACTIVE,TOYOTA,CAMRY,2012,WHITE,Hybrid,N,CHICAGO,IL,60656
Charter Sightseeing,ACTIVE,FORD,E450,2017,WHITE,Gasoline,N,CHICAGO,IL,60630
Taxi,ACTIVE,CHEVROLET,TRAX,2017,BLUE,Gasoline,N,CHICAGO,IL,60640
Charter Sightseeing,ACTIVE,OSHKOSH,SHUTTLE,1992,RED,Gasoline,N,CHICAGO,IL,60639
Charter Sightseeing,INACTIVE,FORD,E350,2008,WHITE,Gasoline,N,CHICAGO,IL,60624
Livery,ACTIVE,CADILLAC,ESCALADE ESV,2016,BLACK,Gasoline,N,CHICAGO,IL,60631
Charter Sightseeing,ACTIVE,OSHKOSH,SHUTTLE,1991,RED,Gasoline,N,CHICAGO,IL,60639
Medicar,INACTIVE,FORD,T150,2015,WHITE,Gasoline,N,MOKENA,IL,60448
Livery,ACTIVE,MERCEDES,S550,2015,BLACK,Gasoline,N,CHICAGO,IL,60630
Taxi,ACTIVE,TOYOTA,CAMRY,2011,WHITE,Hybrid,N,CHICAGO,IL,60656
Taxi,SURRENDER,TOYOTA,PRIUS,2012,WHITE/BLUE/STRIPES,Hybrid,N,CHICAGO,IL,60646
Taxi,ACTIVE,KIA,SORENTO,2016,BLUE/WHITE,Gasoline,N,CHICAGO,IL,60641
Taxi,FORECLOSURE,VPG,MV-1,2014,GREEN,Gasoline,Y,CHICAGO,IL,60645
Taxi,VIOLATION,FORD,C-MAX,2013,ORANGE/BLUE,Hybrid,N,CHICAGO,IL,60630
Taxi,ACTIVE,TOYOTA,CAMRY,2013,WHITE,Hybrid,N,CHICAGO,IL,60659
Charter Sightseeing,INACTIVE,CHEVROLET,ELDORADO BUS,2005,WHITE,Gasoline,N,CHIICAGO,IL,60018
Taxi,SURRENDER,TOYOTA,CAMRY,2016,WHITE,Hybrid,N,CHICAGO,IL,60630
Taxi,ACTIVE,TOYOTA,CAMRY,2015,WHITE/RED,Hybrid,N,CHICAGO,IL,60646
Livery,VIOLATION,LINCOLN,TOWN CAR,2011,BLACK,Gasoline,N,CHICAGO,IL,60608
Taxi,SURRENDER,FORD,ESCAPE,2012,WHITE,Hybrid,N,CHICAGO,IL,60616
Taxi,ACTIVE,TOYOTA,PRIUS,2015,BLUE/WHITE,Hybrid,N,CHICAGO,IL,60641
Taxi,ACTIVE,TOYOTA,RAV4,2013,BLUE,Gasoline,N,CHICAGO,IL,60640
Taxi,VIOLATION,TOYOTA,PRIUS,2012,YELLOW,Hybrid,N,CHICAGO,IL,60618
Taxi,ACTIVE,FORD,ESCAPE,2011,GRAY/WHITE,Hybrid,N,CHICAGO,IL,60626
Taxi,ACTIVE,TOYOTA,XB,2015,GRAY/WHITE,Gasoline,N,CHICAGO,IL,60626
Taxi,ACTIVE,NISSAN,ALTIMA,2010,ORANGE/BLUE,Hybrid,N,CHICAGO,IL,60630
Taxi,ACTIVE,TOYOTA,CAMRY,2010,ORANGE/BLUE,Hybrid,N,CHICAGO,IL,60630
Charter Sightseeing,ACTIVE,FORD,F650,2008,WHITE,Gasoline,N,CHICAGO,IL,60618
Charter Sightseeing,ACTIVE,FREIGHLINE,M1000,2007,WHITE,Gasoline,N,CHICAGO,IL,60618
Charter Sightseeing,ACTIVE,FORD,F650,2012,WHITE,Gasoline,N,CHICAGO,IL,60618
Taxi,SURRENDER,TOYOTA,SCION,2012,CREAM/GREEN,Gasoline,N,CHICAGO,IL,60618
Livery,RESERVED,LINCOLN,NAVIGATOR,2017,BLACK,Gasoline,N,CHICAGO,IL,60645
Taxi,ACTIVE,TOYOTA,PRIUS,2012,WHITE,Hybrid,N,CHICAGO,IL,60656
Taxi,FORECLOSURE,TOYOTA,PRIUS,2013,MAROON/BLUE/STRIPES,Hybrid,N,CHICAGO,IL,60616
Taxi,FORECLOSURE,FORD,ESCAPE,2012,MAROON/BLUE/STRIPES,Hybrid,N,CHICAGO,IL,60616
Livery,ACTIVE,LINCOLN,MKT,2015,BLACK,Gasoline,N,CHICAGO,IL,60653
Livery,ACTIVE,BMW,740 I,2018,BLACK,Gasoline,N,CHICAGO,IL,60616
Taxi,FORECLOSURE,TOYOTA,CAMRY,2014,WHITE,Hybrid,N,CHICAGO,IL,60659
Ambulance,INACTIVE,,,,,Gasoline,N,CHICAGO,IL,60630
Taxi,ACTIVE,TOYOTA,CAMRY,2014,WHITE,Hybrid,N,CHICAGO,IL,60656
Taxi,ACTIVE,TOYOTA,PRIUS,2014,GREEN,Hybrid,N,CHICAGO,IL,60645
Taxi,VIOLATION,TOYOTA,CAMRY,2012,YELLOW,Hybrid,N,CHICAGO,IL,60618
Taxi,INACTIVE,,,,,Gasoline,N,CHICAGO,IL,60608
Taxi,ACTIVE,TOYOTA,CAMRY,2014,GRAY/WHITE,Hybrid,N,CHICAGO,IL,60626
Ambulance,ACTIVE,MERCEDES,SPRINTER,2016,RED/WHITE,Gasoline,N,ELMHURST,IL,60126
Taxi,SURRENDER,TOYOTA,PRIUS,2010,WHITE/BLUE/STRIPES,Hybrid,N,CHICAGO,IL,60646
Taxi,SURRENDER,FORD,ESCAPE,2010,YELLOW,Hybrid,N,CHICAGO,IL,60618
Livery,ACTIVE,LINCOLN,MKS,2016,BLACK,Gasoline,N,CHICAGO,IL,60634
Taxi,VIOLATION,TOYOTA,PRIUS,2012,CREAM/GREEN,Hybrid,N,CHICAGO,IL,60618
Taxi,ACTIVE,TOYOTA,COROLLA,2015,GRAY/WHITE,Gasoline,N,CHICAGO,IL,60626
Medicar,INACTIVE,FORD,E450,2004,WHITE,Gasoline,N,CHICAGO,IL,60620
Livery,ACTIVE,LINCOLN,MKT,2013,BLACK,Gasoline,N,CHICAGO,IL,60608
Livery,RESERVED,LINCOLN,TOWN CAR,2010,BLACK,Gasoline,N,CHICAGO,IL,60634
Taxi,SURRENDER,TOYOTA,PRIUS,2013,YELLOW,Hybrid,N,CHICAGO,IL,60618
Livery,RESERVED,LINCOLN,MKS,2009,BLACK,Gasoline,N,CHICAGO,IL,60652
Livery,ACTIVE,CHEVROLET,SUBURBAN,2017,BLACK,Gasoline,N,CHICAGO,IL,60659
Taxi,ACTIVE,TOYOTA,PRIUS,2012,MAROON/GOLD/STRIPES,Hybrid,N,CHICAGO,IL,60616
Medicar,ACTIVE,DODGE,CARAVAN,2016,BLACK,Gasoline,N,CHICAGO,IL,60653
Taxi,VIOLATION,TOYOTA,PRIUS,2010,YELLOW,Hybrid,N,CHICAGO,IL,60618
Taxi,FORECLOSURE,TOYOTA,CAMRY,2014,CREAM/GREEN,Hybrid,N,CHICAGO,IL,60618
Taxi,VIOLATION,TOYOTA,CAMRY,2010,WHITE,Hybrid,N,CHICAGO,IL,60630
Medicar,INACTIVE,DODGE,CARAVAN,2005,WHITE,Gasoline,N,CHICAGO,IL,60652
Taxi,ACTIVE,TOYOTA,CAMRY,2013,WHITE,Hybrid,N,CHICAGO,IL,60659
Taxi,VIOLATION,FORD,ESCAPE,2012,CREAM/GREEN,Hybrid,N,CHICAGO,IL,60618
Ambulance,INACTIVE,MERCEDES,SPRINTER,2013,RED/WHITE,Gasoline,N,ELMHURST,IL,60126
Livery,RESERVED,LINCOLN,MKT,2013,BLACK,Gasoline,N,CHICAGO,IL,60607
Livery,RESERVED,LINCOLN,MKS,2015,BLACK,Gasoline,N,CHICAGO,IL,60660
Livery,ACTIVE,CHEVROLET,SUBURBAN,2015,BLACK,Gasoline,N,CHICAGO,IL,60612
Livery,ACTIVE,LINCOLN,MKT,2016,BLACK,Gasoline,N,CHICAGO,IL,60634
Livery,RESERVED,INFINITI,QX60,2016,BLACK,Gasoline,N,CHICAGO,IL,60659
Medicar,ACTIVE,FORD,E250,2010,WHITE,Gasoline,N,ELMHURST,IL,60126
Livery,ACTIVE,LINCOLN,MKS,2014,BLACK,Gasoline,N,CHICAGO,IL,60630
Taxi,ACTIVE,TOYOTA,CAMRY,2014,WHITE,Hybrid,N,CHICAGO,IL,60659
Taxi,ACTIVE,TOYOTA,CAMRY,2015,CREAM/GREEN,Hybrid,N,CHICAGO,IL,60618
Taxi,ACTIVE,VPG,MV-1,2012,CREAM/GREEN,Compressed Natural Gas,Y,CHICAGO,IL,60656
Taxi,ACTIVE,FORD,ESCAPE,2012,MAROON/GOLD/STRIPES,Hybrid,N,CHICAGO,IL,60616
Taxi,ACTIVE,TOYOTA,PRIUS,2013,BLUE/WHITE,Hybrid,N,CHICAGO,IL,60641
Taxi,ACTIVE,FORD,FUSION,2014,GREEN,Hybrid,N,CHICAGO,IL,60645
Taxi,ACTIVE,TOYOTA,CAMRY,2017,BLUE/WHITE,Hybrid,N,CHICAGO,IL,60646
Taxi,ACTIVE,TOYOTA,CAMRY,2013,BLUE/WHITE,Hybrid,N,CHICAGO,IL,60641
Charter Sightseeing,INACTIVE,FORD,E350,2009,WHITE,Gasoline,N,CHICAGO,IL,60628
Taxi,ACTIVE,DODGE,GRAND CARAVAN,2012,BLUE/WHITE,Compressed Natural Gas,Y,CHICAGO,IL,60641
Taxi,ACTIVE,TOYOTA,PRIUS,2014,GREEN,Hybrid,N,CHICAGO,IL,60645
Ambulance,INACTIVE,FORD,E350,2006,WHITE/RED,Gasoline,N,ELMHURST,IL,60126
Taxi,ACTIVE,TOYOTA,PRIUS,2013,GREEN,Hybrid,N,CHICAGO,IL,60645
Taxi,ACTIVE,TOYOTA,PRIUS,2013,BLACK/WHITE,Hybrid,N,CHICAGO,IL,60607
Taxi,FORECLOSURE,DODGE,GRAND CARAVAN,2013,WHITE,Compressed Natural Gas,Y,CHICAGO,IL,60656
Livery,RESERVED,CHEVROLET,SUBURBAN,2015,BLACK,Gasoline,N,CHICAGO,IL,60611
Taxi,VIOLATION,NISSAN,ALTIMA,2011,WHITE,Hybrid,N,CHICAGO,IL,60659
Charter Sightseeing,INACTIVE,FREIGHTLINER,SHUTTLE,2016,BLACK,Gasoline,N,CHICAGO,IL,60630
Taxi,VIOLATION,NISSAN,ALTIMA,2011,WHITE,Hybrid,N,CHICAGO,IL,60659
Taxi,ACTIVE,TOYOTA,CAMRY,2014,CREAM/GREEN,Hybrid,N,CHICAGO,IL,60618
Livery,RESERVED,MERCEDES,GL450,2012,BLACK,Gasoline,N,CHICAGO,IL,60628
Taxi,ACTIVE,FORD,ESCAPE,2012,MAROON/GOLD/STRIPES,Hybrid,N,CHICAGO,IL,60616
Livery,ACTIVE,LINCOLN,NAVIGATOR,2017,BLACK,Gasoline,N,CHICAGO,IL,60630
Livery,ACTIVE,MERCEDES,METRIS,2016,BLACK,Gasoline,N,CHICAGO,IL,60630
Livery,ACTIVE,LINCOLN,MKT,2014,BLACK,Gasoline,N,CHICAGO,IL,60630
Taxi,ACTIVE,FORD,FUSION,2014,WHITE/RED/STRIPES,Hybrid,N,CHICAGO,IL,60656
Taxi,ACTIVE,DODGE,GRAND CARAVAN,2016,ORANGE/BLUE,Flex Fuel,Y,CHICAGO,IL,60630
Livery,ACTIVE,CADILLAC,XTS,2014,BLACK,Gasoline,N,CHICAGO,IL,60641
Livery,ACTIVE,CHEVROLET,SUBURBAN,2014,BLACK,Gasoline,N,CHICAGO,IL,60631
Taxi,SURRENDER,DODGE,GRAND CARAVAN,2014,GRAY/WHITE,Gasoline,N,CHICAGO,IL,60626
Ambulance,RESERVED,FORD,E350,2014,WHITE,Gasoline,N,CHICAGO,IL,60621
Charter Sightseeing,INACTIVE,,,2006,BLACK,Gasoline,N,CHICAGO,IL,60630
Taxi,ACTIVE,TOYOTA,CAMRY,2014,GREEN,Hybrid,N,CHICAGO,IL,60645
Charter Sightseeing,INACTIVE,FORD,EXPEDITION,2007,WHITE,Gasoline,N,CHICAGO,IL,60611
Taxi,ACTIVE,TOYOTA,CAMRY,2011,WHITE,Hybrid,N,CHICAGO,IL,60656
Horse Drawn Carriage,INACTIVE,MARTIN,VIS-A-VIS,,,Horse,N,CHICAGO,IL,60610
Livery,ACTIVE,INFINITI,QX60,2017,BLACK,Gasoline,N,CHICAGO,IL,60626
Livery,ACTIVE,CHEVROLET,SUBURBAN,2015,BLACK,Gasoline,N,CHICAGO,IL,60640
Taxi,VIOLATION,NISSAN,ALTIMA,2011,WHITE,Hybrid,N,CHICAGO,IL,60659
Livery,VIOLATION,LINCOLN,TOWN CAR,2011,BLACK,Gasoline,N,CHICAGO,IL,60649
Livery,ACTIVE,CADILLAC,XTS,2017,BLACK,Gasoline,N,CHICAGO,IL,60656
Ambulance,INACTIVE,FORD,E350,2010,WHITE,Gasoline,N,FRANKFORT,IL,60423
Taxi,ACTIVE,TOYOTA,CAMRY,2013,WHITE,Hybrid,N,CHICAGO,IL,60659
Taxi,ACTIVE,TOYOTA,PRIUS,2015,BLUE/WHITE,Hybrid,N,CHICAGO,IL,60641
Horse Drawn Carriage,INACTIVE,MARTIN,VIS-A-VIS,,BLACK,Horse,N,CHICAGO,IL,60612
