Vehicle Type,Status,Vehicle Make,Vehicle Model,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source,Wheelchair Accessible,City,State,ZIP Code
Taxi,SURRENDER,TOYOTA,CAMRY,2014,WHITE/BLUE/STRIPES,Hybrid,N,CHICAGO,IL,60646
Taxi,ACTIVE,FORD,C-MAX,2013,ORANGE/BLUE,Hybrid,N,CHICAGO,IL,60630
Charter Sightseeing,INACTIVE,FREIGHLINE,M LINE SHUTTLE BUS,2012,WHITE,Gasoline,N,CHICAGO,IL,60603
Charter Sightseeing,INACTIVE,IC,M LINE SHUTTLE BUS,2013,WHITE,Gasoline,N,CHICAGO,IL,60603
Charter Sightseeing,INACTIVE,IC,M LINE SHUTTLE BUS,2014,WHITE,Gasoline,N,CHICAGO,IL,60603
Taxi,VIOLATION,FORD,C-MAX,2013,ORANGE/BLUE,Hybrid,N,CHICAGO,IL,60630
Taxi,ACTIVE,FORD,ESCAPE,2012,WHITE,Hybrid,N,CHICAGO,IL,60647
Taxi,ACTIVE,NISSAN,ALTIMA,2011,ORANGE/BLUE,Hybrid,N,CHICAGO,IL,60630
Taxi,ACTIVE,TOYOTA,CAMRY,2012,CREAM/BLUE,Hybrid,N,CHICAGO,IL,60618
Taxi,ACTIVE,TOYOTA,PRIUS,2014,MAROON/GOLD/STRIPES,Hybrid,N,CHICAGO,IL,60616
Taxi,FORECLOSURE,TOYOTA,CAMRY,2015,WHITE,Hybrid,N,CHICAGO,IL,60630
Medicar,INACTIVE,TOYOTA,SIENNA,2009,WHITE,Gasoline,N,CHICAGO,IL,60612
Livery,ACTIVE,LINCOLN,MKT,2014,BLACK,Gasoline,N,CHICAGO,IL,60632
Taxi,ACTIVE,TOYOTA,CAMRY,2014,YELLOW,Hybrid,N,CHICAGO,IL,60618
Taxi,ACTIVE,TOYOTA,CAMRY,2013,CREAM/BLUE,Hybrid,N,CHICAGO,IL,60618
Taxi,ACTIVE,TOYOTA,CAMRY,2012,BLUE/WHITE,Hybrid,N,CHICAGO,IL,60641
Livery,RESERVED,LINCOLN,MKS,2015,BLACK,Gasoline,N,CHICAGO,IL,60632
Livery,ACTIVE,CHRYSLER,PACIFICA,2017,BLACK,Gasoline,N,CHICAGO,IL,60624
Taxi,ACTIVE,FORD,ESCAPE,2012,MAROON/BLUE/STRIPES,Hybrid,N,CHICAGO,IL,60616
Taxi,FORECLOSURE,TOYOTA,PRIUS,2013,BLUE/WHITE,Hybrid,N,CHICAGO,IL,60646
Livery,ACTIVE,LINCOLN,MKT,2014,BLACK,Gasoline,N,CHICAGO,IL,60602
Ambulance,ACTIVE,FORD,E350,2017,WHITE,Gasoline,N,TINLEY PARK,IL,60487
Livery,ACTIVE,CADILLAC,ESCALADE,2016,BLACK,Gasoline,N,CHICAGO,IL,60634
Taxi,SURRENDER,TOYOTA,CAMRY,2013,YELLOW,Hybrid,N,CHICAGO,IL,60618
Taxi,FORECLOSURE,TOYOTA,CAMRY,2011,WHITE,Hybrid,N,CHICAGO,IL,60630
Taxi,SURRENDER,TOYOTA,CAMRY,2013,WHITE/BLUE/STRIPES,Hybrid,N,CHICAGO,IL,60646
Charter Sightseeing,INACTIVE,IC,M LINE SHUTTLE BUS,2015,WHITE,Gasoline,N,CHICAGO,IL,60603
Taxi,ACTIVE,TOYOTA,PRIUS,2011,GRAY/WHITE,Hybrid,N,CHICAGO,IL,60626
Charter Sightseeing,INACTIVE,IC,M LINE SHUTTLE BUS,2015,WHITE,Gasoline,N,CHICAGO,IL,60603
Charter Sightseeing,INACTIVE,FREIGHLINE,M LINE SHUTTLE BUS,2014,WHITE,Gasoline,N,CHICAGO,IL,60603
Taxi,VIOLATION,FORD,C-MAX,2013,ORANGE/BLUE,Hybrid,N,CHICAGO,IL,60630
Taxi,ACTIVE,TOYOTA,CAMRY,2011,WHITE,Hybrid,N,CHICAGO,IL,60659
Taxi,ACTIVE,TOYOTA,CAMRY,2012,WHITE/BLACK/STRIPES,Hybrid,N,CHICAGO,IL,60639
Livery,ACTIVE,LINCOLN,NAVIGATOR,2018,BLACK,Gasoline,N,CHICAGO,IL,60631
Pedicab,INACTIVE,MAINSTREET,BOARDWALK,2010,BLACK,Pedal,N,CHICAGO,IL,60642
Taxi,ACTIVE,TOYOTA,CAMRY,2016,WHITE,Hybrid,N,CHICAGO,IL,60656
Taxi,ACTIVE,NISSAN,NV200,2015,MAROON/BLUE/STRIPES,Gasoline,N,CHICAGO,IL,60616
Charter Sightseeing,ACTIVE,FREIGHLINE,M2 106,2014,BLACK,Diesel,N,CHICAGO,IL,60656
Taxi,ACTIVE,TOYOTA,PRIUS,2012,BLUE,Hybrid,N,CHICAGO,IL,60640
Livery,RESERVED,CADILLAC,XTS,2015,BLACK,Gasoline,N,CHICAGO,IL,60610
Pedicab,ACTIVE,MAINSTREET,BOARDWALK,2014,YELLOW,Pedal,N,CHICAGO,IL,60642
Taxi,ACTIVE,TOYOTA,CAMRY,2012,YELLOW,Hybrid,N,CHICAGO,IL,60618
Charter Sightseeing,INACTIVE,CHEVROLET,C5500,2008,WHITE,Gasoline,N,CHICAGO,IL,60631
Livery,ACTIVE,GMC,YUKON,2016,BLACK,Gasoline,N,CHICAGO,IL,60631
Taxi,INACTIVE,,,,,Gasoline,N,CHICAGO,IL,60608
Taxi,FORECLOSURE,FORD,FUSION,2014,ORANGE/BLUE,Hybrid,N,CHICAGO,IL,60630
Taxi,FORECLOSURE,FORD,ESCAPE,2011,GREEN,Hybrid,N,CHICAGO,IL,60645
Taxi,FORECLOSURE,TOYOTA,CAMRY,2015,WHITE,Hybrid,N,CHICAGO,IL,60656
Taxi,ACTIVE,TOYOTA,PRIUS,2012,WHITE,Hybrid,N,CHICAGO,IL,60630
Charter Sightseeing,INACTIVE,FREIGHLINE,M LINE SHUTTLE BUS,2014,WHITE,Gasoline,N,CHICAGO,IL,60603
Taxi,ACTIVE,FORD,ESCAPE,2011,GRAY/WHITE,Hybrid,N,CHICAGO,IL,60626
Charter Sightseeing,INACTIVE,FORD,STARCRAFT,2014,WHITE,Gasoline,N,CHICAGO,IL,60603
Charter Sightseeing,INACTIVE,FORD,STARCRAFT,2014,WHITE,Gasoline,N,CHICAGO,IL,60603
Jitney,RESERVED,CHRYSLER,TOWN AND COUNTRY,2007,SILVER,Gasoline,N,CHICAGO,IL,60637
Taxi,ACTIVE,CHRYSLER,TOWN AND COUNTRY,2012,BLACK/WHITE,Flex Fuel,Y,CHICAGO,IL,60618
Taxi,ACTIVE,TOYOTA,RAV4,2015,WHITE/RED/STRIPES,Gasoline,N,CHICAGO,IL,60617
Taxi,ACTIVE,TOYOTA,CAMRY,2011,WHITE,Hybrid,N,CHICAGO,IL,60656
Livery,RESERVED,CHEVROLET,SUBURBAN,2013,BLACK,Gasoline,N,CHICAGO,IL,60611
Taxi,FORECLOSURE,NISSAN,ALTIMA,2011,WHITE,Hybrid,N,CHICAGO,IL,60656
Livery,ACTIVE,LINCOLN,MKT,2015,BLACK,Gasoline,N,CHICAGO,IL,60618
Livery,ACTIVE,FORD,EXPEDITION,2016,BLACK,Gasoline,N,CHICAGO,IL,60647
Taxi,ACTIVE,TOYOTA,PRIUS,2016,MAROON/BLUE/STRIPES,Hybrid,N,CHICAGO,IL,60616
Livery,RESERVED,LINCOLN,MKZ,2016,BLACK,Hybrid,N,CHICAGO,IL,60637
Taxi,FORECLOSURE,TOYOTA,CAMRY,2013,BLUE/WHITE,Hybrid,N,CHICAGO,IL,60646
Medicar,INACTIVE,FORD,E150,2008,SILVER,Gasoline,N,CHICAGO,IL,60644
Livery,ACTIVE,CHEVROLET,SUBURBAN,2015,BLACK,Gasoline,N,CHICAGO,IL,60645
Livery,ACTIVE,CADILLAC,XTS,2017,BLACK,Gasoline,N,CHICAGO,IL,60610
Taxi,FORECLOSURE,FORD,ESCAPE,2011,MAROON/GOLD/STRIPES,Hybrid,N,CHICAGO,IL,60616
Livery,ACTIVE,CHEVROLET,SUBURBAN,2015,BLACK,Gasoline,N,CHICAGO,IL,60659
Taxi,ACTIVE,TOYOTA,PRIUS,2014,YELLOW,Hybrid,N,CHICAGO,IL,60612
Livery,ACTIVE,CHEVROLET,SUBURBAN,2016,BLACK,Gasoline,N,CHICAGO,IL,60630
Taxi,FORECLOSURE,TOYOTA,PRIUS,2013,WHITE/BLUE/STRIPES,Hybrid,N,CHICAGO,IL,60646
Taxi,FORECLOSURE,TOYOTA,PRIUS,2014,MAROON/GOLD/STRIPES,Hybrid,N,CHICAGO,IL,60616
Ambulance,INACTIVE,,,,,Gasoline,N,TINLEY PARK,IL,60477
Taxi,ACTIVE,TOYOTA,CAMRY,2016,YELLOW,Hybrid,N,CHICAGO,IL,60618
Taxi,ACTIVE,CHRYSLER,TOWN AND COUNTRY,2013,WHITE,Flex Fuel,N,CHICAGO,IL,60630
Taxi,FORECLOSURE,TOYOTA,CAMRY,2012,WHITE,Hybrid,N,CHICAGO,IL,60659
Taxi,SURRENDER,TOYOTA,SCION,2011,CREAM/GREEN,Gasoline,N,CHICAGO,IL,60618
Livery,RESERVED,GMC,YUKON,2014,BLACK,Gasoline,N,CHICAGO,IL,60607
Livery,VIOLATION,LINCOLN,MKS,2014,BLACK,Gasoline,N,CHICAGO,IL,60630
Livery,ACTIVE,LINCOLN,NAVIGATOR,2017,BLACK,Gasoline,N,CHICAGO,IL,60634
Taxi,SURRENDER,TOYOTA,CAMRY,2011,WHITE/BLUE/STRIPES,Hybrid,N,CHICAGO,IL,60646
Taxi,ACTIVE,DODGE,CARAVAN,2013,WHITE,Gasoline,Y,CHICAGO,IL,60656
Taxi,ACTIVE,TOYOTA,PRIUS,2013,MAROON/GOLD/STRIPES,Hybrid,N,CHICAGO,IL,60616
Taxi,SURRENDER,TOYOTA,CAMRY,2011,WHITE,Hybrid,N,CHICAGO,IL,60637
Livery,ACTIVE,CHEVROLET,SUBURBAN,2015,BLACK,Gasoline,N,CHICAGO,IL,60634
Taxi,ACTIVE,FORD,C-MAX,2013,ORANGE,Hybrid,N,CHICAGO,IL,60630
Charter Sightseeing,INACTIVE,FORD,STARCRAFT,2015,WHITE,Gasoline,N,CHICAGO,IL,60603
Taxi,ACTIVE,TOYOTA,CAMRY,2011,GREEN,Hybrid,N,CHICAGO,IL,60645
Taxi,ACTIVE,TOYOTA,CAMRY,2012,WHITE,Hybrid,N,CHICAGO,IL,60656
Livery,ACTIVE,MERCEDES,E250,2014,BLACK,Gasoline,N,CHICAGO,IL,60660
Taxi,ACTIVE,VPG,MV-1,2012,WHITE,Compressed Natural Gas,Y,CHICAGO,IL,60659
Taxi,ACTIVE,FORD,FUSION,2012,RED/CREAM,Hybrid,N,CHICAGO,IL,60619
Taxi,VIOLATION,TOYOTA,CAMRY,2012,CREAM/BLUE,Hybrid,N,CHICAGO,IL,60618
Taxi,ACTIVE,TOYOTA,PRIUS,2017,WHITE/RED,Hybrid,N,CHICAGO,IL,60646
Pedicab,INACTIVE,MAINSTREET,BOARDWALK,2012,BLACK,Pedal,N,CHICAGO,IL,60642
Taxi,ACTIVE,TOYOTA,RAV4,2016,WHITE/STARS/STRIPES,Hybrid,N,CHICAGO,IL,60618
Livery,ACTIVE,CHEVROLET,SUBURBAN,2015,BLACK,Gasoline,N,CHICAGO,IL,60659
Taxi,FORECLOSURE,FORD,ESCAPE,2012,MAROON/GOLD/STRIPES,Hybrid,N,CHICAGO,IL,60616
Livery,ACTIVE,LINCOLN,MKS,2015,BLACK,Gasoline,N,CHICAGO,IL,60626
Taxi,INACTIVE,FORD,CROWN VICTORIA,2004,WHITE,Gasoline,N,CHICAGO,IL,60608
Taxi,VIOLATION,NISSAN,ALTIMA,2011,WHITE,Hybrid,N,CHICAGO,IL,60656
Livery,ACTIVE,CADILLAC,XTS,2014,BLACK,Gasoline,N,CHICAGO,IL,60652
Livery,RESERVED,CHEVROLET,SUBURBAN,2014,BLACK,Gasoline,N,CHICAGO,IL,60607
Livery,ACTIVE,LINCOLN,NAVIGATOR,2015,BLACK,Gasoline,N,CHICAGO,IL,60659
Taxi,VIOLATION,TOYOTA,CAMRY,2012,YELLOW,Hybrid,N,CHICAGO,IL,60618
Taxi,ACTIVE,TOYOTA,PRIUS,2015,WHITE/BLUE,Hybrid,N,CHICAGO,IL,60659
Ambulance,INACTIVE,FORD,E350,2004,RED/WHITE,Gasoline,N,ELMHURST,IL,60126
Taxi,ACTIVE,TOYOTA,CAMRY,2011,BLUE/WHITE,Hybrid,N,CHICAGO,IL,60641
Taxi,FORECLOSURE,TOYOTA,PRIUS,2012,WHITE/BLUE,Hybrid,N,CHICAGO,IL,60659
Taxi,ACTIVE,DODGE,CARAVAN,2017,WHITE,Flex Fuel,Y,CHICAGO,IL,60656
Livery,INACTIVE,TOYOTA,CAMRY,2013,GRAY,Hybrid,N,CHICAGO,IL,60631
Charter Sightseeing,RESERVED,FREIGHLINE,,1996,RED/CREAM,Gasoline,N,CHICAGO,IL,60603
Taxi,VIOLATION,NISSAN,ALTIMA,2011,ORANGE,Hybrid,N,CHICAGO,IL,60630
Livery,ACTIVE,FORD,EXPEDITION,2017,BLACK,Gasoline,N,CHICAGO,IL,60630
Taxi,ACTIVE,NISSAN,ROGUE,2015,BLACK/SILVER STRIPE,Gasoline,N,CHICAGO,IL,60626
Taxi,SURRENDER,DODGE,GRAND CARAVAN,2016,WHITE,Gasoline,Y,CHICAGO,IL,60656
Ambulance,ACTIVE,FORD,E350,2014,WHITE/BLUE,Gasoline,N,TINLEY PARK,IL,60487
Charter Sightseeing,INACTIVE,FORD,ECONOLINE,2006,WHITE,Gasoline,N,CHICAGO,IL,60614
Livery,ACTIVE,FORD,EXPEDITION,2017,BLACK,Gasoline,N,CHICAGO,IL,60630
Livery,ACTIVE,LINCOLN,MKS,2015,BLACK,Gasoline,N,CHICAGO,IL,60634
Taxi,ACTIVE,TOYOTA,SCION,2014,WHITE,Gasoline,N,CHICAGO,IL,60659
Taxi,VIOLATION,NISSAN,ALTIMA,2011,WHITE,Hybrid,N,CHICAGO,IL,60630
Livery,ACTIVE,LINCOLN,CONTINENTAL,2018,BLACK,Gasoline,N,CHICAGO,IL,60655
Taxi,ACTIVE,TOYOTA,CAMRY,2014,WHITE,Hybrid,N,CHICAGO,IL,60659
Taxi,ACTIVE,FORD,C-MAX,2014,ORANGE/BLUE,Hybrid,N,CHICAGO,IL,60630
Livery,ACTIVE,CADILLAC,XTS,2017,BLACK,Gasoline,N,CHICAGO,IL,60625
Taxi,SURRENDER,TOYOTA,SIENNA,2015,CREAM/GREEN,Gasoline,N,CHICAGO,IL,60618
Taxi,FORECLOSURE,NISSAN,ALTIMA,2011,GRAY/WHITE,Hybrid,N,CHICAGO,IL,60626
Taxi,FORECLOSURE,TOYOTA,CAMRY,2013,BLUE/WHITE,Hybrid,N,CHICAGO,IL,60641
Livery,ACTIVE,LINCOLN,MKT,2018,BLACK,Gasoline,N,CHICAGO,IL,60630
Taxi,ACTIVE,FORD,ESCAPE,2011,GREEN,Hybrid,N,CHICAGO,IL,60645
Taxi,VIOLATION,FORD,C-MAX,2013,ORANGE/BLUE,Hybrid,N,CHICAGO,IL,60630
Taxi,VIOLATION,NISSAN,ALTIMA,2011,ORANGE/BLUE,Hybrid,N,CHICAGO,IL,60630
Taxi,ACTIVE,TOYOTA,PRIUS,2011,WHITE,Hybrid,N,CHICAGO,IL,60659
Taxi,ACTIVE,NISSAN,ALTIMA,2011,ORANGE/BLUE,Hybrid,N,CHICAGO,IL,60661
Livery,ACTIVE,LINCOLN,NAVIGATOR,2015,BLACK,Gasoline,N,CHICAGO,IL,60608
Livery,VIOLATION,GMC,YUKON,2014,BLACK,Gasoline,N,CHICAGO,IL,60630
Livery,ACTIVE,LINCOLN,NAVIGATOR,2015,BLACK,Gasoline,N,CHICAGO,IL,60630
Taxi,ACTIVE,TOYOTA,PRIUS,2013,BLACK/WHITE,Hybrid,N,CHICAGO,IL,60618
Livery,INACTIVE,LINCOLN,MKT,2013,BLACK,Gasoline,N,CHICAGO,IL,60630
Taxi,ACTIVE,TOYOTA,CAMRY,2013,GRAY/WHITE,Hybrid,N,CHICAGO,IL,60626
Taxi,FORECLOSURE,TOYOTA,CAMRY,2013,WHITE,Hybrid,N,CHICAGO,IL,60630
Livery,ACTIVE,LINCOLN,NAVIGATOR,2017,BLACK,Gasoline,N,CHICAGO,IL,60659
Charter Sightseeing,ACTIVE,FORD,TRANSIT BUS,2017,BLACK,Gasoline,N,CHICAGO,IL,60601
Livery,ACTIVE,CADILLAC,ESCALADE,2013,BLACK,Gasoline,N,CHICAGO,IL,60641
Pedicab,INACTIVE,MAINSTREET,BOARDWALK,2010,GRAY,Pedal,N,CHICAGO,IL,60642
Pedicab,INACTIVE,TIPKE,SUPER,1985,SILVER,Pedal,N,CHICAGO,IL,60642
Taxi,ACTIVE,TOYOTA,CAMRY,2014,WHITE,Hybrid,N,CHICAGO,IL,60617
Taxi,SURRENDER,TOYOTA,PRIUS,2013,YELLOW,Hybrid,N,CHICAGO,IL,60618
Taxi,VIOLATION,TOYOTA,CAMRY,2015,GRAY/WHITE,Hybrid,N,CHICAGO,IL,60626
Livery,RESERVED,LINCOLN,MKZ,2016,BLACK,Gasoline,N,CHICAGO,IL,60659
Taxi,FORECLOSURE,TOYOTA,PRIUS,2015,WHITE,Hybrid,N,CHICAGO,IL,60659
Taxi,ACTIVE,TOYOTA,CAMRY,2011,BLUE/WHITE,Hybrid,N,CHICAGO,IL,60641
Livery,VIOLATION,LINCOLN,MKT,2014,BLACK,Gasoline,N,CHICAGO,IL,60625
Livery,ACTIVE,CHEVROLET,SUBURBAN,2014,BLACK,Gasoline,N,CHICAGO,IL,60659
Ambulance,INACTIVE,FORD,VAN,2001,,Gasoline,N,TINLEY PARK,IL,60477
Taxi,ACTIVE,FORD,ESCAPE,2012,MAROON/GOLD/STRIPES,Hybrid,N,CHICAGO,IL,60616
Taxi,ACTIVE,TOYOTA,PRIUS,2015,WHITE,Hybrid,N,CHICAGO,IL,60612
Livery,RESERVED,CHEVROLET,SUBURBAN,2015,BLACK,Gasoline,N,CHICAGO,IL,60639
Taxi,SURRENDER,TOYOTA,PRIUS,2014,WHITE/BLUE/STRIPES,Hybrid,N,CHICAGO,IL,60646
Livery,ACTIVE,LINCOLN,NAVIGATOR,2015,BLACK,Gasoline,N,CHICAGO,IL,60615
Charter Sightseeing,ACTIVE,FORD,TRANSIT BUS,2016,BLACK,Gasoline,N,CHICAGO,IL,60634
Livery,ACTIVE,FORD,EXPEDITION,2018,BLACK,Gasoline,N,CHICAGO,IL,60634
Medicar,ACTIVE,TOYOTA,SIENNA,2011,GRAY,Gasoline,N,ELMHURST,IL,60126
Taxi,FORECLOSURE,FORD,FUSION,2012,GREEN,Hybrid,N,CHICAGO,IL,60645
Taxi,ACTIVE,TOYOTA,COROLLA,2016,WHITE,Gasoline,N,CHICAGO,IL,60647
Taxi,VIOLATION,FORD,C-MAX,2013,ORANGE/BLUE,Hybrid,N,CHICAGO,IL,60630
Taxi,VIOLATION,NISSAN,ALTIMA,2011,ORANGE/BLUE,Hybrid,N,CHICAGO,IL,60630
Taxi,SURRENDER,DODGE,CARAVAN,2016,WHITE,Gasoline,N,CHICAGO,IL,60656
Taxi,ACTIVE,TOYOTA,PRIUS,2014,YELLOW,Hybrid,N,CHICAGO,IL,60618
Taxi,SURRENDER,TOYOTA,CAMRY,2014,WHITE,Hybrid,N,CHICAGO,IL,60659
Taxi,VIOLATION,TOYOTA,CAMRY,2016,YELLOW,Hybrid,N,CHICAGO,IL,60618
Taxi,ACTIVE,TOYOTA,PRIUS,2016,MAROON/GOLD/STRIPES,Hybrid,N,CHICAGO,IL,60616
Taxi,ACTIVE,TOYOTA,CAMRY,2014,GRAY/WHITE,Hybrid,N,CHICAGO,IL,60626
Livery,ACTIVE,LINCOLN,MKT,2013,BLACK,Gasoline,N,CHICAGO,IL,60656
Livery,VIOLATION,CADILLAC,DTS,2010,BLACK,Gasoline,N,CHICAGO,IL,60630
Taxi,ACTIVE,TOYOTA,PRIUS,2012,YELLOW,Hybrid,N,CHICAGO,IL,60618
Medicar,INACTIVE,FORD,E250,2008,WHITE,Gasoline,N,ELMHURST,IL,60126
Taxi,ACTIVE,TOYOTA,RAV4,2014,YELLOW,Gasoline,N,CHICAGO,IL,60653
Taxi,ACTIVE,TOYOTA,VENZA,2013,GOLD,Gasoline,N,CHICAGO,IL,60640
Taxi,ACTIVE,TOYOTA,CAMRY,2014,BLUE/WHITE,Hybrid,N,CHICAGO,IL,60618
Livery,ACTIVE,TESLA,X,2016,BLACK,Electric,N,CHICAGO,IL,60654
Taxi,ACTIVE,FORD,ESCAPE,2012,MAROON/BLUE/STRIPES,Hybrid,N,CHICAGO,IL,60616
Livery,ACTIVE,CHEVROLET,SUBURBAN,2016,BLACK,Gasoline,N,CHICAGO,IL,60610
Livery,RESERVED,CHEVROLET,SUBURBAN,2016,BLACK,Gasoline,N,CHICAGO,IL,60646
Livery,ACTIVE,LINCOLN,MKT,2013,BLACK,Gasoline,N,CHICAGO,IL,60634
Livery,ACTIVE,FORD,EXPEDITION,2016,BLACK,Gasoline,N,CHICAGO,IL,60618
Taxi,ACTIVE,TOYOTA,CAMRY,2011,RED/CREAM,Hybrid,N,CHICAGO,IL,60619
Charter Sightseeing,INACTIVE,INTL,C-MAX,2012,WHITE,Gasoline,N,CHICAGO,IL,60631
Taxi,SURRENDER,FORD,ESCAPE,2011,CREAM/GREEN,Hybrid,N,CHICAGO,IL,60618
Taxi,VIOLATION,TOYOTA,PRIUS,2014,ORANGE/BLUE,Hybrid,N,CHICAGO,IL,60630
Taxi,FORECLOSURE,NISSAN,ALTIMA,2011,ORANGE,Hybrid,N,CHICAGO,IL,60630
Taxi,ACTIVE,TOYOTA,SCION,2012,WHITE/BLACK/STRIPES,Gasoline,N,CHICAGO,IL,60617
Taxi,ACTIVE,TOYOTA,CAMRY,2014,WHITE/RED/STRIPES,Hybrid,N,CHICAGO,IL,60659
Pedicab,INACTIVE,MAINSTREET,BOARDWALK,2009,GRAY,Pedal,N,CHICAGO,IL,60642
Livery,ACTIVE,LINCOLN,MKX,2016,BLACK,Gasoline,N,CHICAGO,IL,60653
Taxi,FORECLOSURE,TOYOTA,CAMRY,2014,BLUE,Hybrid,N,CHICAGO,IL,60640
Medicar,INACTIVE,FORD,E150,2008,WHITE,Gasoline,N,CHICAGO,IL,60630
Taxi,ACTIVE,TOYOTA,CAMRY,2012,WHITE,Hybrid,N,CHICAGO,IL,60656
Taxi,ACTIVE,FORD,ESCAPE,2012,MAROON/GOLD/STRIPES,Hybrid,N,CHICAGO,IL,60616
Pedicab,ACTIVE,MAINSTREET,BOARDWALK,2010,BLACK,Pedal,N,CHICAGO,IL,60642
Livery,RESERVED,LINCOLN,MKT,2014,BLACK,Gasoline,N,CHICAGO,IL,60631
Livery,ACTIVE,FORD,EXPEDITION,2017,BLACK,Gasoline,N,CHICAGO,IL,60601
Livery,ACTIVE,MERCEDES,S550,2014,BLACK,Gasoline,N,CHICAGO,IL,60640
Taxi,ACTIVE,VPG,MV-1,2014,YELLOW,Gasoline,Y,CHICAGO,IL,60618
Livery,ACTIVE,CHEVROLET,SUBURBAN,2014,BLACK,Gasoline,N,CHICAGO,IL,60656
Livery,ACTIVE,CADILLAC,ESCALADE ESV,2016,BLACK,Gasoline,N,CHICAGO,IL,60631
Livery,RESERVED,LINCOLN,MKT,2013,BLACK,Gasoline,N,CHICAGO,IL,60607
Livery,RESERVED,LINCOLN,MKS,2016,BLACK,Gasoline,N,CHICAGO,IL,60630
Taxi,VIOLATION,FORD,C-MAX,2013,ORANGE/BLUE,Hybrid,N,CHICAGO,IL,60630
Livery,ACTIVE,CHEVROLET,TAHOE,2015,BLACK,Gasoline,N,CHICAGO,IL,60619
Taxi,FORECLOSURE,NISSAN,ALTIMA,2011,ORANGE/BLUE,Hybrid,N,CHICAGO,IL,60630
Livery,ACTIVE,CHEVROLET,SUBURBAN,2017,BLACK,Gasoline,N,CHICAGO,IL,60659
Pedicab,INACTIVE,MAINSTREET,BOARDWALK,2009,BLACK,Pedal,N,CHICAGO,IL,60642
Livery,ACTIVE,LINCOLN,MKS,2016,BLACK,Gasoline,N,CHICAGO,IL,60659
Taxi,ACTIVE,TOYOTA,CAMRY,2013,WHITE,Hybrid,N,CHICAGO,IL,60656
Taxi,ACTIVE,TOYOTA,CAMRY,2010,WHITE/BLUE,Hybrid,N,CHICAGO,IL,60659
Taxi,FORECLOSURE,TOYOTA,PRIUS,2015,WHITE,Hybrid,N,CHICAGO,IL,60656
Livery,ACTIVE,CHEVROLET,SUBURBAN,2017,BLACK,Gasoline,N,CHICAGO,IL,60659
Pedicab,ACTIVE,MAINSTREET,BOARDWALK,2009,GREEN,Pedal,N,CHICAGO,IL,60642
Taxi,ACTIVE,TOYOTA,CAMRY,2012,BLUE/WHITE,Hybrid,N,CHICAGO,IL,60641
Ambulance,INACTIVE,FORD,E350,2005,,Gasoline,N,CHICAGO,IL,60630
Taxi,ACTIVE,TOYOTA,CAMRY,2010,WHITE,Hybrid,N,CHICAGO,IL,60656
Taxi,FORECLOSURE,TOYOTA,PRIUS,2012,BLUE,Hybrid,N,CHICAGO,IL,60640
Taxi,ACTIVE,TOYOTA,CAMRY,2013,YELLOW,Hybrid,N,CHICAGO,IL,60618
Taxi,FORECLOSURE,TOYOTA,CAMRY,2013,WHITE,Hybrid,N,CHICAGO,IL,60659
Medicar,INACTIVE,FORD,E350,2006,,Gasoline,N,CHICAGO,IL,60645
Livery,ACTIVE,LINCOLN,NAVIGATOR,2016,BLACK,Gasoline,N,CHICAGO,IL,60620
Livery,ACTIVE,CHEVROLET,SUBURBAN,2015,BLACK,Gasoline,N,CHICAGO,IL,60654
Livery,RESERVED,LINCOLN,NAVIGATOR,2014,BLACK,Gasoline,N,CHICAGO,IL,60646
Taxi,SURRENDER,FORD,ESCAPE,2012,WHITE,Hybrid,N,CHICAGO,IL,60616
Livery,ACTIVE,INFINITI,QX60,2015,BLACK,Gasoline,N,CHICAGO,IL,60660
Taxi,SURRENDER,FORD,ESCAPE,2012,MAROON/BLUE/STRIPES,Hybrid,N,CHICAGO,IL,60616
Taxi,ACTIVE,NISSAN,ALTIMA,2011,ORANGE/BLUE,Hybrid,N,CHICAGO,IL,60630
Taxi,ACTIVE,TOYOTA,CAMRY,2012,BLUE/WHITE,Hybrid,N,CHICAGO,IL,60641
Taxi,ACTIVE,TOYOTA,PRIUS,2014,WHITE,Hybrid,N,CHICAGO,IL,60630
Taxi,VIOLATION,TOYOTA,CAMRY,2014,CREAM/GREEN,Hybrid,N,CHICAGO,IL,60618
Charter Sightseeing,INACTIVE,FORD,E350,2011,BLACK,Gasoline,N,CHICAGO,IL,60618
Taxi,INACTIVE,,,,,Gasoline,N,CHICAGO,IL,60608
Livery,ACTIVE,LINCOLN,TOWN CAR,2011,BLACK,Gasoline,N,CHICAGO,IL,60616
Charter Sightseeing,INACTIVE,FORD,350,2015,BLACK,Gasoline,N,CHICAGO,IL,60602
Taxi,ACTIVE,FORD,ESCAPE,2012,MAROON/GOLD/STRIPES,Hybrid,N,CHICAGO,IL,60616
Livery,ACTIVE,LINCOLN,MKT,2014,BLACK,Gasoline,N,CHICAGO,IL,60620
Taxi,SURRENDER,HONDA,CRV,2013,GOLD,Gasoline,N,CHICAGO,IL,60640
Taxi,FORECLOSURE,TOYOTA,CAMRY,2012,CREAM/BLUE,Hybrid,N,CHICAGO,IL,60618
Ambulance,ACTIVE,FORD,E350,2014,WHITE/BLUE,Gasoline,N,TINLEY PARK,IL,60487
Taxi,SURRENDER,TOYOTA,CAMRY,2014,WHITE,Hybrid,N,CHICAGO,IL,60656
